time,pid,rss,cpu,cpu_affinity,fault_flag
2023-06-05 17:06:00,145854,3758096384,772.7,145854,0
2023-06-05 17:06:00,145751,3758096384,754.5,145751,0
2023-06-05 17:06:00,145740,3758096384,730.3,145740,0
2023-06-05 17:06:00,145817,3758096384,711.7,145817,0
2023-06-05 17:06:00,145923,3758096384,641.1,145923,0
2023-06-05 17:06:00,145890,3758096384,637.8,145890,0
2023-06-05 17:06:00,145730,2362232012,314.1,145730,1
2023-06-05 17:07:00,145817,3650722201,744.1,145817,0
2023-06-05 17:07:00,145784,3758096384,741.6,145784,0
2023-06-05 17:07:00,145740,3758096384,738.1,145740,0
2023-06-05 17:07:00,145751,3758096384,716.8,145751,0
2023-06-05 17:07:00,145854,3758096384,708.6,145854,0
2023-06-05 17:07:00,145923,3758096384,624.2,145923,0
2023-06-05 17:07:00,145890,3758096384,601.6,145890,0
2023-06-05 17:07:00,145730,2362232012,299.9,145730,1
2023-06-05 17:08:00,145854,3758096384,764.3,145854,0
2023-06-05 17:08:00,145751,3758096384,746.3,145751,0
2023-06-05 17:08:00,145817,3758096384,735.3,145817,0
2023-06-05 17:08:00,145784,3758096384,688.2,145784,0
2023-06-05 17:08:00,145740,3758096384,663.3,145740,0
2023-06-05 17:08:00,145923,3758096384,607.4,145923,0
2023-06-05 17:08:00,145890,3758096384,568.7,145890,0
2023-06-05 17:08:00,145730,2362232012,298.6,145730,1
2023-06-05 17:09:00,145751,3758096384,761.2,145751,0
2023-06-05 17:09:00,145740,3758096384,735.5,145740,0
2023-06-05 17:09:00,145854,3758096384,729.9,145854,0
2023-06-05 17:09:00,145784,3758096384,725.2,145784,0
2023-06-05 17:09:00,145817,3758096384,675.2,145817,0
2023-06-05 17:09:00,145923,3758096384,575.4,145923,0
2023-06-05 17:09:00,145890,3758096384,546.2,145890,0
2023-06-05 17:09:00,145730,2362232012,304.5,145730,1
2023-06-05 17:10:00,145784,3758096384,771.0,145784,0
2023-06-05 17:10:00,145854,3758096384,725.9,145854,0
2023-06-05 17:10:00,145740,3758096384,721.0,145740,0
2023-06-05 17:10:00,145817,3758096384,713.8,145817,0
2023-06-05 17:10:00,145751,3758096384,712.1,145751,0
2023-06-05 17:10:00,145890,3758096384,594.5,145890,0
2023-06-05 17:10:00,145923,3758096384,593.8,145923,0
2023-06-05 17:10:00,145730,2469606195,305.5,145730,1
2023-06-05 17:11:00,145784,3758096384,740.6,145784,0
2023-06-05 17:11:00,145817,3650722201,717.7,145817,0
2023-06-05 17:11:00,145740,3758096384,712.4,145740,0
2023-06-05 17:11:00,145751,3758096384,700.8,145751,0
2023-06-05 17:11:00,145854,3758096384,694.3,145854,0
2023-06-05 17:11:00,145923,3758096384,597.9,145923,0
2023-06-05 17:11:00,145890,3758096384,586.5,145890,0
2023-06-05 17:11:00,145730,2469606195,307.6,145730,1
2023-06-05 17:12:00,145740,3758096384,733.6,145740,0
2023-06-05 17:12:00,145784,3758096384,726.7,145784,0
2023-06-05 17:12:00,145817,3758096384,724.8,145817,0
2023-06-05 17:12:00,145854,3758096384,723.3,145854,0
2023-06-05 17:12:00,145751,3758096384,707.9,145751,0
2023-06-05 17:12:00,145890,3758096384,573.3,145890,0
2023-06-05 17:12:00,145923,3758096384,564.3,145923,0
2023-06-05 17:12:00,145730,2469606195,300.7,145730,1
2023-06-05 17:13:00,145784,3758096384,754.6,145784,0
2023-06-05 17:13:00,145854,3758096384,733.1,145854,0
2023-06-05 17:13:00,145817,3758096384,719.7,145817,0
2023-06-05 17:13:00,145751,3758096384,719.1,145751,0
2023-06-05 17:13:00,145740,3758096384,709.9,145740,0
2023-06-05 17:13:00,145923,3758096384,592.6,145923,0
2023-06-05 17:13:00,145890,3758096384,584.6,145890,0
2023-06-05 17:13:00,145730,2469606195,308.6,145730,1
2023-06-05 17:14:00,145854,3758096384,770.2,145854,0
2023-06-05 17:14:00,145784,3758096384,749.4,145784,0
2023-06-05 17:14:00,145817,3758096384,737.9,145817,0
2023-06-05 17:14:00,145751,3758096384,716.9,145751,0
2023-06-05 17:14:00,145740,3758096384,686.7,145740,0
2023-06-05 17:14:00,145923,3758096384,598.9,145923,0
2023-06-05 17:14:00,145890,3758096384,561.8,145890,0
2023-06-05 17:14:00,145730,2469606195,305.0,145730,1
2023-06-05 17:15:00,145854,3758096384,720.5,145854,0
2023-06-05 17:15:00,145784,3758096384,700.1,145784,0
2023-06-05 17:15:00,145817,3758096384,687.8,145817,0
2023-06-05 17:15:00,145751,3758096384,687.0,145751,0
2023-06-05 17:15:00,145740,3758096384,677.2,145740,0
2023-06-05 17:15:00,145890,3758096384,557.6,145890,0
2023-06-05 17:15:00,145923,3758096384,549.2,145923,0
2023-06-05 17:15:00,145730,2469606195,302.3,145730,1
2023-06-05 17:16:00,145784,3758096384,746.6,145784,0
2023-06-05 17:16:00,145854,3758096384,746.4,145854,0
2023-06-05 17:16:00,145817,3758096384,736.7,145817,0
2023-06-05 17:16:00,145740,3758096384,720.2,145740,0
2023-06-05 17:16:00,145751,3758096384,674.5,145751,0
2023-06-05 17:16:00,145890,3758096384,619.8,145890,0
2023-06-05 17:16:00,145923,3758096384,615.8,145923,0
2023-06-05 17:16:00,145730,2469606195,300.7,145730,1
2023-06-05 17:17:00,145751,3758096384,730.4,145751,0
2023-06-05 17:17:00,145817,3758096384,726.7,145817,0
2023-06-05 17:17:00,145784,3758096384,703.4,145784,0
2023-06-05 17:17:00,145854,3758096384,702.7,145854,0
2023-06-05 17:17:00,145740,3758096384,692.2,145740,0
2023-06-05 17:17:00,145890,3758096384,606.8,145890,0
2023-06-05 17:17:00,145923,3758096384,588.0,145923,0
2023-06-05 17:17:00,145730,2469606195,293.4,145730,1
2023-06-05 17:18:00,145854,3758096384,726.1,145854,0
2023-06-05 17:18:00,145817,3650722201,725.6,145817,0
2023-06-05 17:18:00,145751,3758096384,708.5,145751,0
2023-06-05 17:18:00,145784,3758096384,706.6,145784,0
2023-06-05 17:18:00,145740,3758096384,644.5,145740,0
2023-06-05 17:18:00,145890,3758096384,584.0,145890,0
2023-06-05 17:18:00,145923,3758096384,553.7,145923,0
2023-06-05 17:18:00,145730,2469606195,290.6,145730,1
2023-06-05 17:19:00,145854,3758096384,719.4,145854,0
