time,cpu_affinity,pid,rss,cpu,fault_flag
2022-11-23 11:19:00,37768,37768,22022193152,189.91,0
2022-11-23 11:19:00,37775,37775,21875654656,190.79,0
2022-11-23 11:19:00,37699,37699,21898919936,190.67,0
2022-11-23 11:19:00,37423,37423,21963669504,191.2,0
2022-11-23 11:20:00,37426,37426,21990670336,197.32,0
2022-11-23 11:20:00,37563,37563,21988376576,196.86,0
2022-11-23 11:20:00,37631,37631,21850882048,197.53,0
2022-11-23 11:20:00,37494,37494,22038446080,196.5,0
2022-11-23 11:20:00,37768,37768,22022193152,196.18,0
2022-11-23 11:20:00,37775,37775,21875654656,197.51,0
2022-11-23 11:20:00,37699,37699,21898919936,197.92,0
2022-11-23 11:20:00,37423,37423,21963669504,197.24,0
2022-11-23 11:22:00,37426,37426,21990735872,191.0,0
2022-11-23 11:22:00,37563,37563,21988376576,191.61,0
2022-11-23 11:22:00,37631,37631,21850882048,190.85,0
2022-11-23 11:22:00,37494,37494,22038446080,191.07,0
2022-11-23 11:22:00,37768,37768,22022193152,190.91,0
2022-11-23 11:22:00,37775,37775,21875654656,191.41,0
2022-11-23 11:22:00,37699,37699,21898919936,191.31,0
2022-11-23 11:22:00,37423,37423,21963669504,191.85,0
2022-11-23 11:23:00,37426,37426,21990735872,194.98,0
2022-11-23 11:23:00,37563,37563,21988376576,194.97,0
2022-11-23 11:23:00,37631,37631,21850882048,195.5,0
2022-11-23 11:23:00,37494,37494,22038446080,194.25,0
2022-11-23 11:23:00,37768,37768,22022193152,194.5,0
2022-11-23 11:23:00,37775,37775,21875654656,195.09,0
2022-11-23 11:23:00,37699,37699,21898919936,194.39,0
2022-11-23 11:23:00,37423,37423,21963669504,195.32,0
2022-11-23 11:24:00,37426,37426,21990735872,190.99,0
2022-11-23 11:24:00,37563,37563,21988376576,190.77,0
2022-11-23 11:24:00,37631,37631,21850882048,191.98,0
2022-11-23 11:24:00,37494,37494,22038446080,190.44,0
2022-11-23 11:24:00,37768,37768,22022193152,191.22,0
2022-11-23 11:24:00,37775,37775,21875654656,190.78,0
2022-11-23 11:24:00,37699,37699,21898919936,189.87,0
2022-11-23 11:24:00,37423,37423,21963669504,191.29,0
2022-11-23 11:25:00,37426,37426,21990735872,192.74,0
2022-11-23 11:25:00,37563,37563,21988376576,193.7,0
2022-11-23 11:25:00,37631,37631,21850882048,193.9,0
2022-11-23 11:25:00,37494,37494,22038446080,192.99,0
2022-11-23 11:25:00,37768,37768,22022193152,192.86,0
2022-11-23 11:25:00,37775,37775,21875654656,193.01,0
2022-11-23 11:25:00,37699,37699,21898919936,192.15,0
2022-11-23 11:25:00,37423,37423,21963669504,193.69,0
2022-11-23 11:26:00,37426,37426,21990735872,191.43,0
2022-11-23 11:26:00,37563,37563,21988376576,192.43,0
2022-11-23 11:26:00,37631,37631,21850882048,192.65,0
2022-11-23 11:26:00,37494,37494,22038446080,191.14,0
2022-11-23 11:26:00,37768,37768,22022193152,190.95,0
2022-11-23 11:26:00,37775,37775,21875654656,192.06,0
2022-11-23 11:26:00,37699,37699,21898919936,191.15,0
2022-11-23 11:26:00,37423,37423,21963669504,192.42,0
2022-11-23 11:27:00,37426,37426,21990735872,192.53,0
2022-11-23 11:27:00,37563,37563,21988376576,194.24,0
2022-11-23 11:27:00,37631,37631,21850882048,192.78,0
2022-11-23 11:27:00,37494,37494,22038446080,192.64,0
2022-11-23 11:27:00,37768,37768,22022193152,191.69,0
2022-11-23 11:27:00,37775,37775,21875654656,192.48,0
2022-11-23 11:27:00,37699,37699,21898919936,191.95,0
2022-11-23 11:27:00,37423,37423,21963669504,192.75,0
2022-11-23 11:28:00,37426,37426,21990735872,192.0,0
2022-11-23 11:28:00,37563,37563,21988376576,192.89,0
2022-11-23 11:28:00,37631,37631,21850882048,193.13,0
2022-11-23 11:28:00,37494,37494,22038446080,191.46,0
2022-11-23 11:28:00,37768,37768,22022193152,191.62,0
2022-11-23 11:28:00,37775,37775,21875654656,192.84,0
2022-11-23 11:28:00,37699,37699,21898919936,191.86,0
2022-11-23 11:28:00,37423,37423,21963669504,192.52,0
2022-11-23 11:29:00,37426,37426,21990735872,192.82,0
2022-11-23 11:29:00,37563,37563,21988376576,193.8,0
2022-11-23 11:29:00,37631,37631,21850882048,195.36,0
2022-11-23 11:29:00,37494,37494,22038446080,192.16,0
2022-11-23 11:29:00,37768,37768,22022193152,192.82,0
2022-11-23 11:29:00,37775,37775,21875654656,194.03,0
2022-11-23 11:29:00,37699,37699,21898919936,193.63,0
2022-11-23 11:29:00,37423,37423,21963669504,193.75,0
2022-11-23 11:30:00,37426,37426,21990735872,192.22,0
2022-11-23 11:30:00,37563,37563,21988442112,192.6,0
2022-11-23 11:30:00,37631,37631,21850882048,193.02,0
2022-11-23 11:30:00,37494,37494,22038446080,191.37,0
