time,pid,rss,cpu,cpu_affinity,fault_flag
2023-06-02 16:55:53,71917,3865470566,1007.0,71917,0
2023-06-02 16:55:53,71905,3865470566,1004.0,71905,0
2023-06-02 16:55:53,71793,3865470566,998.2,71793,0
2023-06-02 16:55:53,71851,3328599654,943.6,71851,0
2023-06-02 16:55:53,71836,2684354560,894.5,71836,0
2023-06-02 16:55:53,71803,2469606195,785.5,71803,0
2023-06-02 16:55:53,71988,3865470566,778.2,71988,0
2023-06-02 16:55:53,71953,3865470566,734.5,71953,0
2023-06-02 16:56:53,71793,3113851289,1235.0,71793,0
2023-06-02 16:56:53,71905,3221225472,1228.0,71905,0
2023-06-02 16:56:53,71851,3113851289,1214.0,71851,0
2023-06-02 16:56:53,71917,3113851289,1210.0,71917,0
2023-06-02 16:56:53,71836,2899102924,1159.0,71836,0
2023-06-02 16:56:53,71988,3865470566,1061.0,71988,0
2023-06-02 16:56:53,71803,2469606195,1061.0,71803,0
2023-06-02 16:56:53,71953,3865470566,962.3,71953,0
2023-06-02 16:57:54,71905,3865470566,1249.0,71905,0
2023-06-02 16:57:54,71793,3865470566,1247.0,71793,0
2023-06-02 16:57:54,71917,3650722201,1224.0,71917,0
2023-06-02 16:57:54,71836,2684354560,1197.0,71836,0
2023-06-02 16:57:54,71851,2899102924,1191.0,71851,0
2023-06-02 16:57:54,71803,2469606195,1075.0,71803,0
2023-06-02 16:57:54,71988,3865470566,1033.0,71988,0
2023-06-02 16:57:54,71953,3865470566,973.0,71953,0
2023-06-02 16:58:54,71793,3865470566,1243.0,71793,0
2023-06-02 16:58:54,71905,3758096384,1223.0,71905,0
2023-06-02 16:58:54,71851,3758096384,1212.0,71851,0
2023-06-02 16:58:54,71917,3865470566,1204.0,71917,0
2023-06-02 16:58:54,71836,3758096384,1193.0,71836,0
2023-06-02 16:58:54,71803,2469606195,1061.0,71803,0
2023-06-02 16:58:54,71988,3865470566,1032.0,71988,0
2023-06-02 16:58:54,71953,3865470566,949.1,71953,0
2023-06-02 16:59:54,71793,3435973836,1273.0,71793,0
2023-06-02 16:59:54,71905,3435973836,1253.0,71905,0
2023-06-02 16:59:54,71851,2684354560,1247.0,71851,0
2023-06-02 16:59:54,71917,3435973836,1232.0,71917,0
2023-06-02 16:59:54,71836,2576980377,1212.0,71836,0
2023-06-02 16:59:54,71988,3865470566,1069.0,71988,0
2023-06-02 16:59:54,71803,2469606195,1063.0,71803,0
2023-06-02 16:59:54,71953,3865470566,984.9,71953,0
2023-06-02 17:00:55,71905,3972844748,1256.0,71905,0
2023-06-02 17:00:55,71793,3972844748,1238.0,71793,0
2023-06-02 17:00:55,71917,3972844748,1214.0,71917,0
2023-06-02 17:00:55,71851,3972844748,1206.0,71851,0
2023-06-02 17:00:55,71836,3865470566,1150.0,71836,0
2023-06-02 17:00:55,71803,2576980377,1082.0,71803,0
2023-06-02 17:00:55,71988,3972844748,1038.0,71988,0
2023-06-02 17:00:55,71953,3972844748,933.4,71953,0
2023-06-02 17:01:55,71905,3006477107,1251.0,71905,0
2023-06-02 17:01:55,71793,3113851289,1218.0,71793,0
2023-06-02 17:01:55,71836,2576980377,1203.0,71836,0
2023-06-02 17:01:55,71851,2576980377,1198.0,71851,0
2023-06-02 17:01:55,71917,2899102924,1198.0,71917,0
2023-06-02 17:01:55,71803,2469606195,1091.0,71803,0
2023-06-02 17:01:55,71988,3865470566,1069.0,71988,0
2023-06-02 17:01:55,71953,3865470566,971.4,71953,0
2023-06-02 17:02:55,71917,3865470566,1278.0,71917,0
2023-06-02 17:02:55,71905,3865470566,1255.0,71905,0
2023-06-02 17:02:55,71793,3865470566,1242.0,71793,0
2023-06-02 17:02:55,71851,3865470566,1231.0,71851,0
2023-06-02 17:02:55,71836,3543348019,1192.0,71836,0
2023-06-02 17:02:55,71803,2469606195,1088.0,71803,0
2023-06-02 17:02:55,71988,3865470566,1050.0,71988,0
2023-06-02 17:02:55,71953,3865470566,920.1,71953,0
2023-06-02 17:03:55,71851,2469606195,1239.0,71851,0
2023-06-02 17:03:55,71905,2576980377,1221.0,71905,0
2023-06-02 17:03:55,71793,2684354560,1221.0,71793,0
2023-06-02 17:03:55,71917,2576980377,1206.0,71917,0
2023-06-02 17:03:55,71836,2576980377,1160.0,71836,0
2023-06-02 17:03:55,71803,2469606195,1111.0,71803,0
2023-06-02 17:03:55,71988,3865470566,1042.0,71988,0
2023-06-02 17:03:55,71953,3865470566,964.9,71953,0
2023-06-02 17:04:56,71905,3865470566,1287.0,71905,0
2023-06-02 17:04:56,71851,3650722201,1270.0,71851,0
2023-06-02 17:04:56,71793,3865470566,1261.0,71793,0
2023-06-02 17:04:56,71917,3865470566,1259.0,71917,0
2023-06-02 17:04:56,71836,3006477107,1161.0,71836,0
2023-06-02 17:04:56,71803,2469606195,1083.0,71803,0
2023-06-02 17:04:56,71988,3865470566,988.5,71988,0
2023-06-02 17:04:56,71953,3865470566,949.3,71953,0
2023-06-02 17:05:56,71917,3006477107,1228.0,71917,0
2023-06-02 17:05:56,71851,2576980377,1208.0,71851,0
2023-06-02 17:05:56,71836,2576980377,1189.0,71836,0
2023-06-02 17:05:56,71905,2576980377,1188.0,71905,0
2023-06-02 17:05:56,71793,2576980377,1164.0,71793,0
2023-06-02 17:05:56,71803,2469606195,1075.0,71803,0
2023-06-02 17:05:56,71988,3865470566,1056.0,71988,0
