name,mac_tx_pfc_pkt_num,mac_rx_pfc_pkt_num,roce_rx_rc_pkt_num,roce_rx_all_pkt_num,roce_tx_rc_pkt_num,roce_tx_all_pkt_num,label,t_congestion_index,r_congestion_index
pangu-1.3B-data_parallel-batch8-allreduce-1@71.14.85.11_NPU1,0.0006608182249678391,0.13452124038442986,0.865437820483992,0.865437820483992,0.9993059982538004,0.9993059982538004,1,0.12580419049519678,0.0008170401583479224
pangu-1.3B-data_parallel-batch8-allreduce-1@71.14.85.11_NPU2,0.001196665472790214,0.13728121967871654,0.8626782520181723,0.8626782520181723,0.9987706452024692,0.9987706452024692,1,0.12888755203349253,0.0014793069416228195
pangu-1.3B-data_parallel-batch8-allreduce-1@71.14.85.11_NPU3,0.00047699845967048144,0.13721194850232496,0.862744798525229,0.862744798525229,0.9994883413613915,0.9994883413613915,1,0.1287562457666342,0.0005894955361974114
pangu-1.3B-data_parallel-batch8-allreduce-1@71.14.85.11_NPU4,0.0006171111941598518,0.13442547513574227,0.8655304714528582,0.8655304714528582,0.9993471062319662,0.9993471062319662,1,0.12567854980868082,0.0007631064468317699
pangu-1.3B-data_parallel-batch8-allreduce-1@71.14.85.11_NPU5,0.0008099428357394115,0.0013771493851916727,0.9985757127755889,0.9985757127755889,0.9991573627449648,0.9991573627449648,0,0.001094204144639901,0.00102169712979301
pangu-1.3B-data_parallel-batch8-allreduce-1@71.14.85.11_NPU6,0.001132373502464978,0.0010961348657366975,0.9988569008109293,0.9988569008109293,0.9988354217418205,0.9988354217418205,0,0.0008707398728064564,0.0014287888371006822
pangu-1.3B-data_parallel-batch8-allreduce-1@71.14.85.11_NPU7,0.0010958832309507097,0.0011645364804099253,0.998784675994953,0.998784675994953,0.9988688039067132,0.9988688039067132,0,0.0009250539767167244,0.0013828337947839337
pangu-1.3B-data_parallel-batch8-allreduce-1@71.14.85.12_NPU0,0.0010874657013314466,0.09404273770275776,0.9059165863130101,0.9059165863130101,0.9988667599556446,0.9988667599556446,1,0.12524192510074145,0.0009023921837623879
pangu-1.3B-data_parallel-batch8-allreduce-1@71.14.85.12_NPU1,0.001450717303450653,0.000645261796984779,0.9993071867648043,0.9993071867648043,0.9985018139661891,0.9985018139661891,0,0.0007592213780181739,0.001235669841293603
pangu-1.3B-data_parallel-batch8-allreduce-1@71.14.85.12_NPU2,0.0009598535975070846,0.007177747990920752,0.9927791461289063,0.9927791461289063,0.9989970718619678,0.9989970718619678,0,0.008529671941490704,0.0008144117180413088
pangu-1.3B-data_parallel-batch8-allreduce-1@71.14.85.12_NPU3,0.001322838799171888,0.0007340316400780971,0.999221065241309,0.999221065241309,0.9986317004177037,0.9986317004177037,0,0.0008637974450489413,0.0011265302560394578
pangu-1.3B-data_parallel-batch8-allreduce-1@71.14.85.12_NPU4,0.0016194237522414914,0.0006597829204486469,0.9992923456953334,0.9992923456953334,0.9983325781359228,0.9983325781359228,0,0.0007762930734520383,0.001379647245777425
pangu-1.3B-data_parallel-batch8-allreduce-1@71.14.85.12_NPU5,0.0018740003076203402,0.018613683627944123,0.9813400525338595,0.9813400525338595,0.9980794044512152,0.9980794044512152,0,0.022474989350621852,0.0015845935096916188
pangu-1.3B-data_parallel-batch8-allreduce-1@71.14.85.12_NPU6,0.0012273412037043295,0.0008636882361797763,0.9990896056980293,0.9990896056980293,0.9987263471063441,0.9987263471063441,0,0.0010166835893817244,0.001044926052949362
pangu-1.3B-data_parallel-batch8-allreduce-1@71.14.85.12_NPU7,0.001659598345718326,0.0079459142836229,0.9920069686510792,0.9920069686510792,0.998292950034849,0.998292950034849,0,0.009453163563630157,0.0014086301171899152
pangu-1.3B-data_parallel-batch8-allreduce-1@71.14.85.13_NPU0,0.00016308067878462084,0.0006256129923753354,0.9993654787614201,0.9993654787614201,1.0000249474132326,1.0000249474132326,0,0.0005792976395469471,0.00017622654753397614
pangu-1.3B-data_parallel-batch8-allreduce-1@71.14.85.13_NPU1,0.0002851182053395192,0.000628406078686045,0.9993181926791846,0.9993181926791846,0.9996723687411143,0.9996723687411143,0,0.000582432492286835,0.00030793442935773816
pangu-1.3B-data_parallel-batch8-allreduce-1@71.14.85.13_NPU2,0.0006578666674365704,0.0007511023967810853,0.9992002107636397,0.9992002107636397,0.9993035312167611,0.9993035312167611,0,0.0006960178911214328,0.0007109952310967801
pangu-1.3B-data_parallel-batch8-allreduce-1@71.14.85.13_NPU3,0.0002838455087932082,0.0006850969446589535,0.9992635218666565,0.9992635218666565,0.9996753530361937,0.9996753530361937,0,0.0006349682261797984,0.0003065794532448862
pangu-1.3B-data_parallel-batch8-allreduce-1@71.14.85.13_NPU4,0.00035802165423410036,0.0006480793977116151,0.9993003004672734,0.9993003004672734,0.9996007098028952,0.9996007098028952,0,0.0006007660265013234,0.00038664248321232294
pangu-1.3B-data_parallel-batch8-allreduce-1@71.14.85.13_NPU5,0.0010822385074403897,0.0009694595441461285,0.9989802719738274,0.9989802719738274,0.9988771614852241,0.9988771614852241,0,0.0009193045362483914,0.0011437320068184808
pangu-1.3B-data_parallel-batch8-allreduce-1@71.14.85.13_NPU6,0.0009844500999598882,0.0008807903306610396,0.9990699049575766,0.9990699049575766,0.9989759691097013,0.9989759691097013,0,0.0008350614175326905,0.001040391772898066
pangu-1.3B-data_parallel-batch8-allreduce-1@71.14.85.13_NPU7,0.0011652009784783343,0.000860633825036194,0.999089626228594,0.999089626228594,0.998794301924741,0.998794301924741,0,0.0008160079932897202,0.0012315281206836776
pangu-1.3B-data_parallel-batch8-allreduce-1@71.14.85.14_NPU0,0.00019370098624099972,0.0006131002479890328,0.9994452719959138,0.9994452861949515,0.9997628644009864,0.9997628644009864,0,0.0006952957707437917,0.00017093764283724607
pangu-1.3B-data_parallel-batch8-allreduce-1@71.14.85.14_NPU1,0.0013859263915081473,0.0007039771005578604,0.9995253628959384,0.9995253628959384,0.9988832780403091,0.9988832780403091,0,0.0008167642072172859,0.0011964469256505665
pangu-1.3B-data_parallel-batch8-allreduce-1@71.14.85.14_NPU2,0.0007001560145494073,0.0008905811658910384,0.9991205624305626,0.9991205624305626,0.9993098224942575,0.9993098224942575,0,0.0010300771393966588,0.0006062901715397904
